	SMILES	Number	Lattice
63	c1ccc2c(c1)SC1=NSC3=C([N]c4nonc4[N]3)N12	127	('27.14356764', '0.0', '0.0', '0.0', '27.14356764', '0.0', '0.0', '0.0', '27.14356764')
64	Cn1cc([N+](=O)[O-])c(C(=O)O)n1	130	('34.16626332', '0.0', '0.0', '0.0', '34.16626332', '0.0', '0.0', '0.0', '34.16626332')
65	O=[N+]([O-])c1nonc1O	132	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
66	O=C1C(c2ccccc2)=C2c3ccccc3[C@@H]3CC=C[C@H]1[C@H]23	135	('24.532865280000003', '0.0', '0.0', '0.0', '24.532865280000003', '0.0', '0.0', '0.0', '24.532865280000003')
67	O=[N+]([O-])c1cc([N+](=O)[O-])on1	136	('31.29392448', '0.0', '0.0', '0.0', '31.29392448', '0.0', '0.0', '0.0', '31.29392448')
68	Cn1c2c(n(C)c1=O)-c1c(n(C)c(=O)n1C)SSSS2	139	('17.97311376', '0.0', '0.0', '0.0', '17.97311376', '0.0', '0.0', '0.0', '17.97311376')
69	CC1=C(/C=N/n2nnnc2N)[N]ON1[O]	142	('17.458890120000003', '0.0', '0.0', '0.0', '17.458890120000003', '0.0', '0.0', '0.0', '17.458890120000003')
70	Cc1nc2cc([N+](=O)[O-])ccc2nc1O	143	('37.281028680000006', '0.0', '0.0', '0.0', '37.281028680000006', '0.0', '0.0', '0.0', '37.281028680000006')
71	Cc1cc(C)n(C(=S)SSC(=S)n2nc(C)cc2C)n1	144	('29.9437236', '0.0', '0.0', '0.0', '29.9437236', '0.0', '0.0', '0.0', '29.9437236')
72	CN(C)c1c(N(C)C)c(=O)c1=O	146	('21.932376480000002', '0.0', '0.0', '0.0', '21.932376480000002', '0.0', '0.0', '0.0', '21.932376480000002')
73	C1=N[C]2CN[C@@H]3[C@@H](NCc4ncnn43)N2[N]1	147	('34.68212748', '0.0', '0.0', '0.0', '34.68212748', '0.0', '0.0', '0.0', '34.68212748')
74	[CH]1C=NC2=N[C](c3cccs3)C=NC2=C1	149	('33.14347848', '0.0', '0.0', '0.0', '33.14347848', '0.0', '0.0', '0.0', '33.14347848')
75	Nc1cccc2nsnc12	151	('38.276242200000006', '0.0', '0.0', '0.0', '38.276242200000006', '0.0', '0.0', '0.0', '38.276242200000006')
76	NNC(=O)C1=C(O)c2ccccc2S(=O)(=O)N1	154	('32.57538228', '0.0', '0.0', '0.0', '32.57538228', '0.0', '0.0', '0.0', '32.57538228')
77	O/N=C/c1cc(/C=N/O)cc(/C=N/O)c1	155	('32.779971', '0.0', '0.0', '0.0', '32.779971', '0.0', '0.0', '0.0', '32.779971')
78	NNC(=O)c1cccc(C(=O)NN)n1	159	('30.60501192', '0.0', '0.0', '0.0', '30.60501192', '0.0', '0.0', '0.0', '30.60501192')
79	c1csc(-c2nnc(-c3cccs3)o2)c1	161	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
80	NC(=O)[C@H]1OC(c2cccs2)O[C@@H]1C(N)=O	162	('35.95659984', '0.0', '0.0', '0.0', '35.95659984', '0.0', '0.0', '0.0', '35.95659984')
81	c1occ2c1CC2	163	('27.99589716', '0.0', '0.0', '0.0', '27.99589716', '0.0', '0.0', '0.0', '27.99589716')
82	Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1	165	('33.23518884', '0.0', '0.0', '0.0', '33.23518884', '0.0', '0.0', '0.0', '33.23518884')
83	NC(=O)c1ccccc1	166	('23.01961788', '0.0', '0.0', '0.0', '23.01961788', '0.0', '0.0', '0.0', '23.01961788')
84	Cn1cn[nH]c1=S	172	('33.22656288', '0.0', '0.0', '0.0', '33.22656288', '0.0', '0.0', '0.0', '33.22656288')
85	[O-][n+]1c(CO)c(CO)[n+]([O-])c2ccccc21	173	('33.45131412', '0.0', '0.0', '0.0', '33.45131412', '0.0', '0.0', '0.0', '33.45131412')
86	Cc1cnc(N)s1	178	('30.14132688', '0.0', '0.0', '0.0', '30.14132688', '0.0', '0.0', '0.0', '30.14132688')
87	O=c1n(O)c(=O)n(O)c(=O)n1O	182	('25.52580324', '0.0', '0.0', '0.0', '25.52580324', '0.0', '0.0', '0.0', '25.52580324')
88	O=C=Nc1cc2ccc1CCc1ccc(c(N=C=O)c1)CC2	185	('15.50937024', '0.0', '0.0', '0.0', '15.50937024', '0.0', '0.0', '0.0', '15.50937024')
89	O=c1c(=O)c2ccccc12	186	('19.01616696', '0.0', '0.0', '0.0', '19.01616696', '0.0', '0.0', '0.0', '19.01616696')
90	O=Cc1ccccc1OCCCOc1ccccc1C=O	187	('32.48398944', '0.0', '0.0', '0.0', '32.48398944', '0.0', '0.0', '0.0', '32.48398944')
91	O=Cc1ccccc1OCCCOc1ccccc1C=O	188	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
92	CSc1nc(N)c(N)c(N)n1	189	('18.91408428', '0.0', '0.0', '0.0', '18.91408428', '0.0', '0.0', '0.0', '18.91408428')
93	Cc1cc(C)c(N)c(C)c1N	190	('17.66940588', '0.0', '0.0', '0.0', '17.66940588', '0.0', '0.0', '0.0', '17.66940588')
94	O=[N+]([O-])c1cccc(/C=C/C=C/C=C/c2cccc([N+](=O)[O-])c2)c1	193	('23.61835476', '0.0', '0.0', '0.0', '23.61835476', '0.0', '0.0', '0.0', '23.61835476')
95	O=C1CNCCNCC(=O)Nc2ccccc2N1	194	('27.65694456', '0.0', '0.0', '0.0', '27.65694456', '0.0', '0.0', '0.0', '27.65694456')
96	O=[N+]([O-])OCc1onc(-c2noc(CO[N+](=O)[O-])c2CO[N+](=O)[O-])c1CO[N+](=O)[O-]	195	('27.35027316', '0.0', '0.0', '0.0', '27.35027316', '0.0', '0.0', '0.0', '27.35027316')
97	S=C(SSC(=S)n1cccn1)n1cccn1	196	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
98	Cn1cc[nH]c1=S	199	('24.508733760000002', '0.0', '0.0', '0.0', '24.508733760000002', '0.0', '0.0', '0.0', '24.508733760000002')
99	O=C1NC(=O)c2cc([N+](=O)[O-])ccc21	205	('30.09576276', '0.0', '0.0', '0.0', '30.09576276', '0.0', '0.0', '0.0', '30.09576276')
100	c1cnc(NCN(CNc2ncccn2)c2ncccn2)nc1	206	('16.49881548', '0.0', '0.0', '0.0', '16.49881548', '0.0', '0.0', '0.0', '16.49881548')
101	NNC(=O)c1cc(=O)[nH]c(=O)[nH]1	208	('40.1154768', '0.0', '0.0', '0.0', '40.1154768', '0.0', '0.0', '0.0', '40.1154768')
102	CN1Cc2ccc(NC(N)=O)cc2C1=O	209	('35.40199824', '0.0', '0.0', '0.0', '35.40199824', '0.0', '0.0', '0.0', '35.40199824')
103	CSc1nnn[nH]1	210	('49.29434496', '0.0', '0.0', '0.0', '49.29434496', '0.0', '0.0', '0.0', '49.29434496')
104	OCc1cc(CO)c(O)c(CO)c1	214	('21.46477536', '0.0', '0.0', '0.0', '21.46477536', '0.0', '0.0', '0.0', '21.46477536')
105	c1cn(CCCCn2cnnn2)nn1	216	('34.4527722', '0.0', '0.0', '0.0', '34.4527722', '0.0', '0.0', '0.0', '34.4527722')
106	C=CN1[N]N=C(c2ccccc2-c2nnnn2C=C)[N]1	218	('31.492215719999997', '0.0', '0.0', '0.0', '31.492215719999997', '0.0', '0.0', '0.0', '31.492215719999997')
107	S=c1[nH]c(=S)[nH]c(=S)[nH]1	219	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
108	c1cc2nc(c1)CSC1=C3SCc4cccc(n4)CSC4=C(SC2)SC(=C(S1)S3)S4	222	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
109	CC1(C)C/C(=N\O)c2nonc2C1	223	('29.19215376', '0.0', '0.0', '0.0', '29.19215376', '0.0', '0.0', '0.0', '29.19215376')
110	CC1(C)C/C(=N\O)c2nonc2C1	224	('37.973116440000005', '0.0', '0.0', '0.0', '37.973116440000005', '0.0', '0.0', '0.0', '37.973116440000005')
111	CNN[C]1N=C[N]c2c1cnn2C	227	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
112	C(=N/n1cnnc1)\Nn1cnnc1	233	('41.4054018', '0.0', '0.0', '0.0', '41.4054018', '0.0', '0.0', '0.0', '41.4054018')
113	c1ccc(-c2nncnn2)cc1	236	('27.96483312', '0.0', '0.0', '0.0', '27.96483312', '0.0', '0.0', '0.0', '27.96483312')
114	Nc1cc[nH]c(=S)n1	241	('17.11792656', '0.0', '0.0', '0.0', '17.11792656', '0.0', '0.0', '0.0', '17.11792656')
115	COSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]	242	('18.711665280000002', '0.0', '0.0', '0.0', '18.711665280000002', '0.0', '0.0', '0.0', '18.711665280000002')
116	COSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]	243	('26.01901764', '0.0', '0.0', '0.0', '26.01901764', '0.0', '0.0', '0.0', '26.01901764')
117	c1csc(-c2ccc(-c3cn[nH]c3)s2)c1	245	('32.93751384', '0.0', '0.0', '0.0', '32.93751384', '0.0', '0.0', '0.0', '32.93751384')
118	Cc1oc(=O)c2c(c1C)OC/C2=C\c1ccccc1	246	('31.60049004', '0.0', '0.0', '0.0', '31.60049004', '0.0', '0.0', '0.0', '31.60049004')
119	COC(=O)c1c[nH]cn1	247	('21.317604839999998', '0.0', '0.0', '0.0', '21.317604839999998', '0.0', '0.0', '0.0', '21.317604839999998')
120	O=c1n(-c2ccccc2)c(=O)n2n1[C@H]1C=C[C@@H]2[C@@]23COC[C@@]12[C@@H]1O[C@@H]13	250	('35.07680484', '0.0', '0.0', '0.0', '35.07680484', '0.0', '0.0', '0.0', '35.07680484')
121	[O]N1S[N]c2[nH]c(=O)[nH]c(=O)c21	255	('30.1257684', '0.0', '0.0', '0.0', '30.1257684', '0.0', '0.0', '0.0', '30.1257684')
122	O=C1OCc2cc3c(cc21)OCO3	257	('10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999', '0.0', '0.0', '0.0', '10.004261399999999')
123	Cn1nnnc1SSc1nnnn1C	263	('19.94597136', '0.0', '0.0', '0.0', '19.94597136', '0.0', '0.0', '0.0', '19.94597136')
124	Cn1nnnc1SSc1nnnn1C	264	('38.68065684', '0.0', '0.0', '0.0', '38.68065684', '0.0', '0.0', '0.0', '38.68065684')
125	Cc1ccc(N([O])[N][N+](=O)[O-])cc1N([O])[N][N+](=O)[O-]	265	('44.732429280000005', '0.0', '0.0', '0.0', '44.732429280000005', '0.0', '0.0', '0.0', '44.732429280000005')
126	c1cc(-c2ccno2)on1	266	('26.72211276', '0.0', '0.0', '0.0', '26.72211276', '0.0', '0.0', '0.0', '26.72211276')
